City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Dingle,PH,73.8,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
6,Rikitea,PF,73.13,overcast clouds,-23.1203,-134.9692,People ThankYou
14,Belize,BZ,73.72,clear sky,17.25,-88.75,Villa San Juan
15,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
16,Kavaratti,IN,81.32,few clouds,10.5669,72.642,Green leaf
17,Hithadhoo,MV,82.13,broken clouds,-0.6,73.0833,Scoop Guest House
19,Busselton,AU,69.67,scattered clouds,-33.65,115.3333,Observatory Guest House
25,Etchoropo,MX,73.99,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
26,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Sarangani,PH,83.26,light rain,5.4033,125.4636,JVL Inn and Cafeteria
36,Carnarvon,AU,70.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
39,Butaritari,KI,82.15,broken clouds,3.0707,172.7902,Isles Sunset Lodge
40,Flinders,AU,72.68,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
43,Sao Filipe,CV,79.97,overcast clouds,14.8961,-24.4956,Hotel Xaguate
44,Kahului,US,80.62,broken clouds,20.8947,-156.47,Maui Seaside Hotel
45,Faanui,PF,79.14,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Ponta Do Sol,PT,75.0,light rain,32.6667,-17.1,Hotel do Campo
56,Manaure,CO,80.11,few clouds,11.7751,-72.4445,Hotel Palaaima
58,Bengkulu,ID,81.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Nouakchott,MR,71.53,few clouds,18.0858,-15.9785,HOTEL IMAN
66,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
69,Tura,IN,78.82,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
71,Balsas,BR,75.0,broken clouds,-7.5325,-46.0356,Novo Hotel
73,Acajutla,SV,78.57,clear sky,13.5928,-89.8275,CASA DE LA PERRA
91,Les Cayes,HT,75.36,clear sky,18.2,-73.75,Villa Orphee
94,Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
96,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
98,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Kavieng,PG,83.82,light rain,-2.5744,150.7967,Nusa Island Retreat
104,Sydney,AU,77.27,clear sky,-33.8679,151.2073,The Grace Sydney
112,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
115,Atuona,PF,76.46,few clouds,-9.8,-139.0333,Villa Enata
117,Gushikawa,JP,82.4,broken clouds,26.3544,127.8686,Kirari Guest House
118,Ogembo,KE,69.01,broken clouds,-0.7984,34.7253,Sameta Lodge and Hotel
