City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Merauke,ID,-8.4667,140.3333,85.68,61,100,13.15,overcast clouds
1,Beringovskiy,RU,63.05,179.3167,19.29,58,11,9.22,few clouds
2,Lebu,CL,-37.6167,-73.65,53.58,94,100,9.89,moderate rain
3,Ratnapura,LK,6.6828,80.3992,88.21,48,3,4.99,clear sky
4,Dingle,PH,10.9995,122.6711,73.8,98,100,5.86,moderate rain
5,Batagay,RU,67.6333,134.6333,11.14,90,72,3.56,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,73.13,76,91,13.76,overcast clouds
7,Georgetown,MY,5.4112,100.3354,85.93,76,20,5.99,light rain
8,Punta Arenas,CL,-53.15,-70.9167,41.11,75,75,16.11,broken clouds
9,Jalu,LY,29.0331,21.5482,64.78,51,0,7.23,clear sky
10,Port Alfred,ZA,-33.5906,26.891,62.19,96,70,13.73,light rain
11,Baturaja,ID,-4.1333,104.1667,87.31,63,100,1.21,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,40.66,75,40,19.57,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,65.37,72,0,11.01,clear sky
14,Belize,BZ,17.25,-88.75,73.72,94,8,2.91,clear sky
15,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,75,5.75,broken clouds
16,Kavaratti,IN,10.5669,72.642,81.32,61,12,6.17,few clouds
17,Hithadhoo,MV,-0.6,73.0833,82.13,77,61,19.95,broken clouds
18,Hobart,AU,-42.8794,147.3294,58.26,94,100,8.05,moderate rain
19,Busselton,AU,-33.65,115.3333,69.67,43,46,8.52,scattered clouds
20,Pangnirtung,CA,66.1451,-65.7125,26.98,92,100,6.26,snow
21,Khatanga,RU,71.9667,102.5,13.21,95,99,7.54,overcast clouds
22,Yellowknife,CA,62.456,-114.3525,28.92,93,100,14.97,light snow
23,Ust-Nera,RU,64.5667,143.2,9.52,98,89,7.74,overcast clouds
24,Qaanaaq,GL,77.484,-69.3632,-0.27,63,21,10.87,few clouds
25,Etchoropo,MX,26.7667,-109.6667,73.99,60,3,9.01,clear sky
26,Kapaa,US,22.0752,-159.319,82.38,77,0,17.27,clear sky
27,Sarangani,PH,5.4033,125.4636,83.26,78,98,22.68,light rain
28,Rocha,UY,-34.4833,-54.3333,55.15,61,0,7.76,clear sky
29,Killybegs,IE,54.6333,-8.45,50.49,91,100,20.96,heavy intensity rain
30,Rancharia,BR,-22.2292,-50.8931,67.89,73,70,5.68,broken clouds
31,Albany,US,42.6001,-73.9662,43.34,75,3,5.21,clear sky
32,Lorengau,PG,-2.0226,147.2712,86.65,67,80,10.87,broken clouds
33,Kaitangata,NZ,-46.2817,169.8464,58.33,98,98,5.55,light rain
34,Cherskiy,RU,68.75,161.3,4.44,96,100,8.05,overcast clouds
35,Leningradskiy,RU,69.3833,178.4167,11.98,94,100,16.06,light snow
36,Carnarvon,AU,-24.8667,113.6333,70.0,60,42,19.19,scattered clouds
37,Norman Wells,CA,65.282,-126.8329,21.24,86,100,8.05,light snow
38,Hermanus,ZA,-34.4187,19.2345,59.81,83,95,17.9,overcast clouds
39,Butaritari,KI,3.0707,172.7902,82.15,77,74,18.16,broken clouds
40,Flinders,AU,-34.5833,150.8552,72.68,46,4,13.53,clear sky
41,Bilibino,RU,68.0546,166.4372,-16.98,100,93,2.64,overcast clouds
42,Bara,NG,10.3744,10.7288,70.86,32,66,6.02,broken clouds
43,Sao Filipe,CV,14.8961,-24.4956,79.97,74,92,6.96,overcast clouds
44,Kahului,US,20.8947,-156.47,80.62,78,75,10.36,broken clouds
45,Faanui,PF,-16.4833,-151.75,79.14,76,80,9.1,light rain
46,Upernavik,GL,72.7868,-56.1549,15.13,97,96,7.09,overcast clouds
47,La Ronge,CA,55.1001,-105.2842,44.85,49,20,9.22,few clouds
48,Barrow,US,71.2906,-156.7887,23.02,80,100,13.8,overcast clouds
49,Yichang,CN,30.7144,111.2847,59.02,88,100,1.34,overcast clouds
50,Ponta Do Sol,PT,32.6667,-17.1,75.0,94,69,9.6,light rain
51,Sakata,JP,38.9167,139.855,66.38,52,75,12.66,broken clouds
52,Dikson,RU,73.5069,80.5464,24.73,92,100,13.49,overcast clouds
53,Castro,BR,-24.7911,-50.0119,59.2,91,30,1.41,scattered clouds
54,Horsham,GB,51.064,-0.3272,62.64,94,20,2.3,fog
55,Olafsvik,IS,64.8945,-23.7142,39.4,78,100,10.2,overcast clouds
56,Manaure,CO,11.7751,-72.4445,80.11,76,21,7.11,few clouds
57,Gazanjyk,TM,39.2446,55.5154,62.44,43,96,6.4,overcast clouds
58,Bengkulu,ID,-3.8004,102.2655,81.0,74,100,4.88,overcast clouds
59,Nikolskoye,RU,59.7035,30.7861,51.69,93,100,8.1,overcast clouds
60,Saldanha,ZA,-33.0117,17.9442,55.45,71,2,8.21,clear sky
61,Nizwa,OM,22.9333,57.5333,87.75,15,0,0.58,clear sky
62,Bredasdorp,ZA,-34.5322,20.0403,61.25,85,100,18.66,overcast clouds
63,Narsaq,GL,60.9167,-46.05,30.42,82,100,7.54,overcast clouds
64,Mataura,NZ,-46.1927,168.8643,59.16,98,99,2.84,light rain
65,Nouakchott,MR,18.0858,-15.9785,71.53,30,15,10.6,few clouds
66,Avarua,CK,-21.2078,-159.775,73.45,78,75,12.66,broken clouds
67,Bulolo,PG,-7.2,146.65,87.94,52,100,3.53,overcast clouds
68,Torbay,CA,47.6666,-52.7314,62.58,96,100,19.57,overcast clouds
69,Tura,IN,25.5198,90.2201,78.82,63,1,1.23,clear sky
70,Mishan,CN,45.55,131.8833,43.39,54,92,10.63,overcast clouds
71,Balsas,BR,-7.5325,-46.0356,75.0,84,72,3.0,broken clouds
72,Ulaangom,MN,49.9811,92.0667,36.19,49,98,3.65,overcast clouds
73,Acajutla,SV,13.5928,-89.8275,78.57,82,8,4.63,clear sky
74,Andenes,NO,69.3143,16.1194,40.98,93,75,9.22,broken clouds
75,Mantua,IT,45.1667,10.7833,54.64,86,3,4.5,clear sky
76,Ban Dung,TH,17.699,103.2596,90.1,82,27,10.51,scattered clouds
77,Jamestown,US,42.097,-79.2353,37.04,72,0,6.91,clear sky
78,Tasiilaq,GL,65.6145,-37.6368,35.76,64,94,11.3,overcast clouds
79,Victoria,HK,22.2855,114.1577,85.96,59,0,8.99,clear sky
80,Berlevag,NO,70.8578,29.0864,35.6,80,75,32.21,broken clouds
81,Jiangyou,CN,31.7667,104.7167,58.12,88,100,4.05,overcast clouds
82,Viedma,AR,-40.8135,-62.9967,65.91,29,93,28.97,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,67.55,90,23,5.01,few clouds
84,Clyde River,CA,70.4692,-68.5914,14.23,79,0,8.05,clear sky
85,Broome,US,42.2506,-75.833,37.0,83,0,8.05,clear sky
86,Sept-Iles,CA,50.2001,-66.3821,40.05,68,20,11.5,few clouds
87,Christchurch,NZ,-43.5333,172.6333,64.47,71,75,13.8,broken clouds
88,Saskylakh,RU,71.9167,114.0833,1.67,97,100,5.59,overcast clouds
89,Sur,OM,22.5667,59.5289,85.96,50,0,4.72,clear sky
90,Lagoa,PT,39.05,-27.9833,62.4,52,83,24.87,broken clouds
91,Les Cayes,HT,18.2,-73.75,75.36,80,8,7.05,clear sky
92,Salym,RU,60.0625,71.4789,28.18,82,100,11.12,overcast clouds
93,Alihe,CN,50.5667,123.7167,42.22,29,79,2.93,broken clouds
94,Vaini,TO,-21.2,-175.2,75.36,94,100,9.22,light intensity shower rain
95,Airai,TL,-8.9266,125.4092,70.9,68,98,1.88,overcast clouds
96,Nouadhibou,MR,20.931,-17.0347,71.58,56,71,11.5,broken clouds
97,Bonavista,CA,48.6499,-53.1147,57.65,96,94,14.18,overcast clouds
98,Mahebourg,MU,-20.4081,57.7,75.49,78,75,5.75,broken clouds
99,Kavieng,PG,-2.5744,150.7967,83.82,75,35,10.2,light rain
100,Egvekinot,RU,66.3167,-179.1667,4.71,85,79,5.75,broken clouds
101,Pevek,RU,69.7008,170.3133,2.17,94,100,3.09,overcast clouds
102,Vanimo,PG,-2.6741,141.3028,86.67,68,89,8.61,overcast clouds
103,Valdosta,US,30.8327,-83.2785,64.31,88,0,5.75,clear sky
104,Sydney,AU,-33.8679,151.2073,77.27,27,0,21.85,clear sky
105,The Pas,CA,53.8251,-101.2541,37.42,75,75,10.36,broken clouds
106,Korla,CN,41.7597,86.1469,58.24,28,0,5.7,clear sky
107,Ballina,AU,-28.8667,153.5667,87.01,35,0,5.66,clear sky
108,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,78,55,13.62,light rain
109,Alice Springs,AU,-23.7,133.8833,88.21,40,100,8.05,overcast clouds
110,Inuvik,CA,68.3499,-133.7218,15.01,79,100,3.44,light snow
111,Laguna,US,38.421,-121.4238,58.98,58,0,0.0,clear sky
112,Quatre Cocos,MU,-20.2078,57.7625,75.31,68,45,11.43,scattered clouds
113,Omsukchan,RU,62.5333,155.8,7.36,87,100,4.27,overcast clouds
114,Chuy,UY,-33.6971,-53.4616,55.72,85,0,7.74,clear sky
115,Atuona,PF,-9.8,-139.0333,76.46,79,13,15.73,few clouds
116,Gorontalo,ID,0.5412,123.0595,87.4,66,75,5.3,light rain
117,Gushikawa,JP,26.3544,127.8686,82.4,62,75,17.27,broken clouds
118,Ogembo,KE,-0.7984,34.7253,69.01,59,80,3.98,broken clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,63.09,64,0,20.71,clear sky
120,Ulladulla,AU,-35.35,150.4667,72.5,45,1,15.46,clear sky
121,Lensk,RU,60.7253,114.9278,33.67,58,53,9.19,broken clouds
122,Hilo,US,19.7297,-155.09,78.53,84,40,4.0,scattered clouds
123,Coos Bay,US,43.3665,-124.2179,51.93,97,0,6.91,clear sky
124,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,100,75,17.29,light intensity shower rain
125,Trelew,AR,-43.249,-65.3051,62.87,34,0,25.32,clear sky
126,Vao,NC,-22.6667,167.4833,76.23,79,46,10.09,scattered clouds
127,Constitucion,CL,-35.3333,-72.4167,49.71,90,78,5.5,broken clouds
128,Sucre,BO,-19.0333,-65.2627,53.91,83,97,4.05,overcast clouds
129,Riyadh,SA,24.6877,46.7219,64.54,16,82,4.74,broken clouds
130,Grindavik,IS,63.8424,-22.4338,39.67,93,75,9.22,broken clouds
131,Saint George,US,37.1041,-113.5841,52.95,37,0,5.75,clear sky
132,Beaver Falls,US,40.752,-80.3192,45.39,83,0,4.0,clear sky
133,Chokurdakh,RU,70.6333,147.9167,8.67,95,99,5.66,overcast clouds
134,Okhotsk,RU,59.3833,143.3,26.06,49,8,14.47,clear sky
135,Alyangula,AU,-13.8483,136.4192,87.76,56,53,10.65,broken clouds
136,Saint-Philippe,RE,-21.3585,55.7679,76.59,67,14,8.3,few clouds
137,Guerrero Negro,MX,27.9769,-114.0611,66.07,75,2,10.18,clear sky
138,Katobu,ID,-4.9408,122.5276,88.32,57,76,8.5,broken clouds
139,Matamoros,MX,25.5333,-103.25,66.11,33,1,4.65,clear sky
140,Hofn,IS,64.2539,-15.2082,40.89,77,83,5.48,broken clouds
141,Mut,TR,36.6439,33.4389,60.67,56,15,6.51,few clouds
142,Tilichiki,RU,60.4667,166.1,12.61,81,15,6.33,few clouds
143,Tigil,RU,57.8,158.6667,26.73,97,98,8.37,light snow
144,Mabay,PH,6.0577,124.4666,78.46,93,100,8.25,moderate rain
145,Mehamn,NO,71.0357,27.8492,35.55,80,75,11.5,broken clouds
146,Hobyo,SO,5.3505,48.5268,80.4,72,16,2.59,few clouds
147,Aksu,CN,41.1231,80.2644,56.95,30,33,2.44,scattered clouds
148,Nago,JP,26.5881,127.9761,83.25,69,25,15.86,scattered clouds
149,Itarema,BR,-2.9248,-39.9167,77.83,81,51,13.44,broken clouds
150,Salalah,OM,17.0151,54.0924,77.09,53,0,2.3,clear sky
151,Lasa,IT,46.6166,10.7002,52.68,66,20,1.59,few clouds
152,Fortuna,US,40.5982,-124.1573,48.65,89,0,6.91,clear sky
153,Podkletnoye,RU,51.5899,39.4623,36.12,93,100,8.46,overcast clouds
154,Maniitsoq,GL,65.4167,-52.9,39.24,95,100,14.94,moderate rain
155,Fukue,JP,32.6881,128.8419,71.96,53,75,10.36,broken clouds
156,Feijo,BR,-8.1642,-70.3536,77.63,82,89,2.68,moderate rain
157,Ahipara,NZ,-35.1667,173.1667,67.03,76,46,11.68,scattered clouds
158,Bluff,NZ,-46.6,168.3333,58.03,86,98,4.81,moderate rain
159,Codrington,AU,-38.2667,141.9667,54.97,78,100,22.35,overcast clouds
160,Yumen,CN,40.2833,97.2,57.2,27,58,15.03,broken clouds
161,East London,ZA,-33.0153,27.9116,63.54,88,75,16.11,light rain
162,Bundaberg,AU,-24.85,152.35,87.22,64,38,5.99,scattered clouds
163,Zhigansk,RU,66.7697,123.3711,13.53,87,100,6.13,overcast clouds
164,Pokhara,NP,28.2333,83.9833,71.31,67,63,5.44,broken clouds
165,Nefteyugansk,RU,61.0998,72.6035,27.61,88,100,16.91,overcast clouds
166,Hammerfest,NO,70.6634,23.6821,34.25,80,0,3.44,clear sky
167,Hay River,CA,60.8156,-115.7999,28.38,86,100,19.57,overcast clouds
168,Chazuta,PE,-6.5742,-76.1367,77.23,91,99,0.63,moderate rain
169,Lakeway,US,30.3638,-97.9796,69.89,81,100,17.0,overcast clouds
170,Shimoda,JP,34.6667,138.95,66.56,65,40,5.39,scattered clouds
171,Dunedin,NZ,-45.8742,170.5036,53.8,91,95,1.01,overcast clouds
172,Rawson,AR,-43.3002,-65.1023,62.89,34,0,25.32,clear sky
173,Lompoc,US,34.6391,-120.4579,53.78,98,100,4.61,mist
174,New Norfolk,AU,-42.7826,147.0587,57.9,80,100,1.99,overcast clouds
175,Prainha,BR,-1.8,-53.48,76.19,81,90,4.41,overcast clouds
176,Sakaiminato,JP,35.55,133.2333,67.98,56,20,9.22,few clouds
177,Pacifica,US,37.6138,-122.4869,60.13,63,0,4.61,clear sky
178,Lincoln,US,40.8,-96.667,53.51,58,100,5.75,overcast clouds
179,Hot Springs,US,34.5037,-93.0552,56.91,66,0,8.05,clear sky
180,Portland,US,45.5234,-122.6762,53.38,83,99,3.49,overcast clouds
181,Cabedelo,BR,-6.9811,-34.8339,77.67,83,20,13.33,few clouds
182,Tuatapere,NZ,-46.1333,167.6833,62.6,81,91,5.28,overcast clouds
183,Plettenberg Bay,ZA,-34.0527,23.3716,59.32,89,100,8.79,light rain
184,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,86,75,13.8,light snow
185,Sayyan,YE,15.1718,44.3244,55.44,25,0,4.14,clear sky
186,Kijini,TZ,-5.85,39.3167,76.71,77,13,5.66,few clouds
187,Arkhangelsk,RU,64.5401,40.5433,32.11,100,75,4.47,broken clouds
188,Hvide Sande,DK,56.0045,8.1294,56.08,93,84,10.92,broken clouds
189,Ribeirao Branco,BR,-24.2208,-48.7656,63.32,83,98,2.28,overcast clouds
190,Mendi,PG,-6.1761,143.6513,64.42,87,93,4.25,overcast clouds
191,Arraial Do Cabo,BR,-22.9661,-42.0278,72.75,93,96,25.75,overcast clouds
192,Cabo San Lucas,MX,22.8909,-109.9124,75.51,71,10,1.01,clear sky
193,Esperance,AU,-33.8667,121.9,60.6,55,22,16.04,few clouds
194,San Patricio,US,28.017,-97.5169,80.46,86,100,11.7,overcast clouds
195,Ialibu,PG,-6.2821,143.9935,65.1,85,96,4.45,overcast clouds
196,Port Lincoln,AU,-34.7333,135.8667,61.57,55,52,15.79,broken clouds
197,Jorpeland,NO,59.0225,6.0408,57.11,95,99,4.43,overcast clouds
198,Coahuayana,MX,18.7333,-103.6833,75.13,94,19,2.93,few clouds
199,Ust-Kuyga,RU,70.0167,135.6,0.36,98,89,3.51,overcast clouds
200,Husavik,IS,66.0449,-17.3389,34.61,80,99,7.85,overcast clouds
201,Faya,SA,18.3851,42.4509,55.51,59,22,1.03,few clouds
202,Manta,EC,-0.95,-80.7333,69.58,83,100,10.36,overcast clouds
203,Deputatskiy,RU,69.3,139.9,3.6,94,96,6.13,overcast clouds
204,Vega De Alatorre,MX,20.0333,-96.6333,76.08,89,8,12.5,clear sky
205,Muroto,JP,33.2833,134.15,68.45,60,88,13.67,overcast clouds
206,Kenner,US,29.9941,-90.2417,64.4,81,0,4.61,clear sky
207,Opuwo,NA,-18.0607,13.84,72.81,33,4,3.65,clear sky
208,Cockburn Town,TC,21.4612,-71.1419,80.22,67,4,6.64,clear sky
209,Thompson,CA,55.7435,-97.8558,35.76,93,75,10.36,broken clouds
210,Fairbanks,US,64.8378,-147.7164,10.36,82,0,1.01,clear sky
211,Pathein,MM,16.7833,94.7333,84.07,72,98,9.86,overcast clouds
212,Dinguiraye,GN,11.3,-10.7167,71.8,77,96,0.58,overcast clouds
213,Acarau,BR,-2.8856,-40.12,77.45,82,45,13.42,scattered clouds
214,Port Elizabeth,ZA,-33.918,25.5701,61.32,97,75,8.05,broken clouds
215,Basco,PH,20.4487,121.9702,80.65,81,28,29.64,scattered clouds
216,Forbes,AU,-33.3833,148.0167,64.83,53,93,14.36,overcast clouds
217,Muravlenko,RU,63.7898,74.523,25.81,95,100,18.45,light snow
218,Nanortalik,GL,60.1432,-45.2371,35.71,78,97,7.99,overcast clouds
219,Chalus,IR,36.655,51.4204,65.66,82,75,4.61,broken clouds
220,San Quintin,MX,30.4833,-115.95,63.34,78,0,6.08,clear sky
221,Provideniya,RU,64.3833,-173.3,19.51,58,40,4.47,scattered clouds
222,Itoman,JP,26.1247,127.6694,83.17,64,40,17.27,scattered clouds
223,Rudbar,AF,30.15,62.6,73.78,22,7,5.86,clear sky
224,Siocon,PH,7.7061,122.1353,78.64,90,100,13.24,moderate rain
225,Sharjah,AE,25.3573,55.4033,80.58,78,63,4.61,haze
226,Xining,CN,36.6167,101.7667,52.92,53,56,5.5,broken clouds
227,Lengshuitan,CN,26.4111,111.5956,63.57,69,100,7.49,overcast clouds
228,Cidreira,BR,-30.1811,-50.2056,62.28,81,0,5.01,clear sky
229,Axim,GH,4.8699,-2.2405,77.25,85,65,2.71,broken clouds
230,Muskogee,US,35.5834,-95.3336,58.33,52,40,5.75,scattered clouds
231,Pimentel,PE,-6.8367,-79.9342,61.41,89,47,10.18,scattered clouds
232,Kodiak,US,57.79,-152.4072,33.31,44,0,29.93,clear sky
233,Nuuk,GL,64.1835,-51.7216,41.61,93,100,8.99,light snow
234,Yeniseysk,RU,58.4497,92.1703,38.17,73,99,7.52,overcast clouds
235,Koungou,YT,-12.7336,45.2042,82.11,69,20,9.22,few clouds
236,Abalak,RU,58.1286,68.5944,30.4,68,98,11.56,overcast clouds
237,Ohara,JP,35.25,140.3833,65.98,62,20,6.35,few clouds
238,San Jeronimo,PE,-11.9472,-75.2829,52.61,78,93,0.76,overcast clouds
239,Halifax,CA,44.6453,-63.5724,50.45,76,46,10.0,scattered clouds
240,Quang Ngai,VN,15.1167,108.8,78.94,83,90,15.19,overcast clouds
241,Guanica,PR,17.9716,-66.908,78.19,89,100,13.33,light rain
242,Altamira,BR,-3.2033,-52.2064,74.64,87,68,3.65,broken clouds
243,Qaqortoq,GL,60.7167,-46.0333,31.46,81,100,7.23,overcast clouds
244,Katsina,NG,12.9894,7.6006,69.8,25,1,9.15,clear sky
245,Mehran,IR,33.1222,46.1646,84.96,16,27,16.04,scattered clouds
246,The Valley,AI,18.217,-63.0578,82.09,72,100,15.37,overcast clouds
247,Harper,LR,4.375,-7.7169,76.44,88,89,4.12,overcast clouds
248,Aykhal,RU,66.0,111.5,7.09,97,80,3.67,broken clouds
249,Scarborough,GB,54.2797,-0.4044,58.91,91,100,8.01,overcast clouds
250,Parana,AR,-31.732,-60.5238,67.57,60,0,7.52,clear sky
